Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,28,EA,1.25,726404381001,3 1/2" Peppers /12ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,7,EA,1.25,726404382008,3 1/2" Tomatoes /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,7,EA,1.25,726404382008,3 1/2" Tomatoes /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,25,EA,1.25,726404382008,3 1/2" Tomatoes /12ct tray,756.85
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,2,EA,5.5,726404383029,306 Strawberry /3ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,9,EA,5.5,726404383029,306 Strawberry /3ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,2,EA,9.75,726404750005,10" Green Basket,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,9.75,726404750005,10" Green Basket,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,9.75,726404750005,10" Green Basket,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,7,726404790001,10" Basket White,510.65
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,5,EA,7,726404790001,10" Basket White,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,3,EA,7,726404873001,10" Bowl,510.65
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,2,EA,7,726404873001,10" Bowl,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,6,EA,8,726404922044,Gallon Per--Lilies/Grasses,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,13,EA,8,726404922044,Gallon Per--Lilies/Grasses,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,11,EA,8,726404922044,Gallon Per--Lilies/Grasses,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,7,EA,3.25,726404926004,Quart Perennial /10ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,3,EA,3.25,726404926004,Quart Perennial /10ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,2,EA,3.25,726404926004,Quart Perennial /10ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,5,EA,13.2,726404987128,1204 Annual /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,13.2,726404987128,1204 Annual /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,3,EA,13.2,726404987128,1204 Annual /12ct tray,756.85
108003,00004,POTest_108003_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100417,1,EA,6.75,726404010109,1 Gallon Shrub,158.6
107969,00004,POTest_107969_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100416,2,EA,6.75,726404010178,1 Gallon Shrub,172.8
108003,00004,POTest_108003_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100417,1,EA,6.5,726404010819,Small Fruits--Berries etc.,158.6
107969,00004,POTest_107969_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100416,1,EA,8.15,726404011649,1 Gallon Shrub,172.8
107969,00004,POTest_107969_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100416,1,EA,10.5,726404015012,1.5 Gallon Hydrangea (8"),172.8
108003,00004,POTest_108003_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100417,1,EA,25.75,726404050815,5 Gallon Fruit Tree,158.6
107568,00004,POTest_107568_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100414,29,EA,1.1,726404290006,1204 Annual /12ct tray,97.3
107626,00004,POTest_107626_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100415,17,EA,1.1,726404290006,1204 Annual /12ct tray,60.6
107969,00004,POTest_107969_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100416,22,EA,1.1,726404290006,1204 Annual /12ct tray,172.8
108003,00004,POTest_108003_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100417,19,EA,1.1,726404290006,1204 Annual /12ct tray,158.6
107568,00004,POTest_107568_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100414,17,EA,1.1,726404290013,1204 Vegetable /12ct tray,97.3
107626,00004,POTest_107626_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100415,7,EA,1.1,726404290013,1204 Vegetable /12ct tray,60.6
107969,00004,POTest_107969_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100416,22,EA,1.1,726404290013,1204 Vegetable /12ct tray,172.8
108003,00004,POTest_108003_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100417,21,EA,1.1,726404290013,1204 Vegetable /12ct tray,158.6
107568,00004,POTest_107568_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100414,5,EA,1.1,726404290105,1204 Peppers /12ct tray,97.3
107626,00004,POTest_107626_00004,20100429,1400 W. MAIN ST.,WATERTOWN,WI,53098-3549,10301,20100415,2,EA,1.1,726404290105,1204 Peppers /12ct tray,60.6
