CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,COLOR INK INC SBT             ,20100915            ,20100915            ,'771527961                    ,0009238.36

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04220          ,00000010.5,0000000000,0000000000010.5,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04220          ,0000011.75,0000000000,000000000011.75,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04220          ,0000005.25,0000000000,000000000005.25,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04220          ,00000038.5,0000000000,0000000000038.5,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04220          ,0000032.75,0000000000,000000000032.75,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04220          ,0000027.75,0000000000,000000000027.75,                         ,                         ,,20100912                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04272          ,0000037.22,0000000000,000000000037.22,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04272          ,0000027.13,0000000000,000000000027.13,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04272          ,0000031.44,0000000000,000000000031.44,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04272          ,00000014.5,0000000000,0000000000014.5,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04272          ,0000000033,0000000000,000000000000033,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04272          ,0000040.86,0000000000,000000000040.86,                         ,                         ,,20100912                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04289          ,00000006.5,0000000000,0000000000006.5,                         ,                         ,,20100907                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04289          ,0000001.75,0000000000,000000000001.75,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04289          ,0000001.75,0000000000,000000000001.75,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04289          ,0000000003,0000000000,000000000000003,                         ,                         ,,20100911                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04314          ,0000000003,0000000000,000000000000003,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04314          ,0000005.25,0000000000,000000000005.25,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04314          ,0000000007,0000000000,000000000000007,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04314          ,00000017.5,0000000000,0000000000017.5,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04314          ,0000000020,0000000000,000000000000020,                         ,                         ,,20100910                      ,0000000000,'043                
